seed,gamechar,game,char,sim,seed_filename,gamechar_filename
ff_02_Firion,ff_04_Cecil,ff_04,Cecil,0.42,ff_02_Firion.jpg,ff_04_Cecil.jpg
ff_02_Firion,ff_06_Locke,ff_06,Locke,0.38,ff_02_Firion.jpg,ff_06_Locke.png
ff_02_Firion,kh_Donald,kh,Donald,0.32,ff_02_Firion.jpg,kh_Donald.png
ff_02_Firion,ff_07_Cloud,ff_07,Cloud,0.3,ff_02_Firion.jpg,ff_07_Cloud.jpeg
ff_02_Firion,ff_tactics_Gafgarion,ff_tactics,Gafgarion,0.29,ff_02_Firion.jpg,ff_tactics_Gafgarion.png
ff_02_Firion,ff_10_2_Buddy,ff_10_2,Buddy,0.25,ff_02_Firion.jpg,ff_10_2_Buddy.jpeg
ff_02_Firion,ff_12_Vossler,ff_12,Vossler,0.25,ff_02_Firion.jpg,ff_12_Vossler.png
ff_02_Firion,ff_05_Faris,ff_05,Faris,0.23,ff_02_Firion.jpg,ff_05_Faris.png
ff_02_Firion,ff_09_Freya,ff_09,Freya,0.23,ff_02_Firion.jpg,ff_09_Freya.jpg
ff_02_Firion,ff_13_2_Caius,ff_13_2,Caius,0.22,ff_02_Firion.jpg,ff_13_2_Caius.jpg
ff_02_Firion,ff_08_Quistis,ff_08,Quistis,0.2,ff_02_Firion.jpg,ff_08_Quistis.jpeg
ff_02_Firion,kh_2_Sora,kh_2,Sora,0.2,ff_02_Firion.jpg,kh_2_Sora.jpg
ff_02_Firion,ff_10_Auron,ff_10,Auron,0.19,ff_02_Firion.jpg,ff_10_Auron.jpeg
ff_02_Firion,smt_4_Isabeau,smt_4,Isabeau,0.09,ff_02_Firion.jpg,smt_4_Isabeau.jpg
ff_02_Gordon,ff_12_Ashe,ff_12,Ashe,0.37,ff_02_Gordon.jpg,ff_12_Ashe.png
ff_02_Gordon,ff_06_Cyan,ff_06,Cyan,0.36,ff_02_Gordon.jpg,ff_06_Cyan.png
ff_02_Gordon,ff_08_Headmaster Cid,ff_08,Headmaster Cid,0.33,ff_02_Gordon.jpg,ff_08_Headmaster Cid.jpg
